"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 18:39:23 GMT 2024","Thu Mar 14 18:39:25 GMT 2024","1145","","Login Feature test","","","","I want to test the login page (example #1)",""
"passed","Thu Mar 14 18:39:26 GMT 2024","Thu Mar 14 18:39:32 GMT 2024","5946","","Login Feature test","","","","I want to test the login page (example #4)",""
"passed","Thu Mar 14 18:39:25 GMT 2024","Thu Mar 14 18:39:25 GMT 2024","816","","Login Feature test","","","","I want to test the login page (example #2)",""
"passed","Thu Mar 14 18:39:25 GMT 2024","Thu Mar 14 18:39:26 GMT 2024","778","","Login Feature test","","","","I want to test the login page (example #3)",""
