"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 03 11:03:19 GMT 2023","Fri Feb 03 11:03:25 GMT 2023","6503","","Login Feature test","","","","I want to test the login page (example #4)",""
"passed","Fri Feb 03 11:03:14 GMT 2023","Fri Feb 03 11:03:16 GMT 2023","1487","","Login Feature test","","","","I want to test the login page (example #1)",""
"passed","Fri Feb 03 11:03:16 GMT 2023","Fri Feb 03 11:03:17 GMT 2023","1255","","Login Feature test","","","","I want to test the login page (example #2)",""
"passed","Fri Feb 03 11:03:17 GMT 2023","Fri Feb 03 11:03:19 GMT 2023","1293","","Login Feature test","","","","I want to test the login page (example #3)",""
