"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 24 10:04:20 GMT 2023","Tue Jan 24 10:04:21 GMT 2023","1238","","Login Feature test","","","","I want to test the login page (example #1)",""
"passed","Tue Jan 24 10:04:22 GMT 2023","Tue Jan 24 10:04:24 GMT 2023","1181","","Login Feature test","","","","I want to test the login page (example #3)",""
"passed","Tue Jan 24 10:04:24 GMT 2023","Tue Jan 24 10:04:30 GMT 2023","6406","","Login Feature test","","","","I want to test the login page (example #4)",""
"passed","Tue Jan 24 10:04:21 GMT 2023","Tue Jan 24 10:04:22 GMT 2023","1022","","Login Feature test","","","","I want to test the login page (example #2)",""
