"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 10:05:38 GMT 2023","Thu Feb 09 10:05:39 GMT 2023","957","","Login Feature test","","","","I want to test the login page (example #2)",""
"passed","Thu Feb 09 10:05:39 GMT 2023","Thu Feb 09 10:05:40 GMT 2023","1008","","Login Feature test","","","","I want to test the login page (example #3)",""
"passed","Thu Feb 09 10:05:36 GMT 2023","Thu Feb 09 10:05:38 GMT 2023","1427","","Login Feature test","","","","I want to test the login page (example #1)",""
"passed","Thu Feb 09 10:05:40 GMT 2023","Thu Feb 09 10:05:46 GMT 2023","6412","","Login Feature test","","","","I want to test the login page (example #4)",""
