"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 15:24:58 GMT 2024","Thu Mar 07 15:25:04 GMT 2024","5919","","Login Feature test","","","","I want to test the login page (example #4)",""
"passed","Thu Mar 07 15:24:56 GMT 2024","Thu Mar 07 15:24:57 GMT 2024","1112","","Login Feature test","","","","I want to test the login page (example #1)",""
"passed","Thu Mar 07 15:24:57 GMT 2024","Thu Mar 07 15:24:58 GMT 2024","792","","Login Feature test","","","","I want to test the login page (example #2)",""
"passed","Thu Mar 07 15:24:58 GMT 2024","Thu Mar 07 15:24:58 GMT 2024","749","","Login Feature test","","","","I want to test the login page (example #3)",""
