"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 18:54:38 GMT 2024","Thu Mar 28 18:54:39 GMT 2024","1205","","Login Feature test","","","","I want to test the login page (example #1)",""
"passed","Thu Mar 28 18:54:41 GMT 2024","Thu Mar 28 18:54:47 GMT 2024","5946","","Login Feature test","","","","I want to test the login page (example #4)",""
"passed","Thu Mar 28 18:54:39 GMT 2024","Thu Mar 28 18:54:40 GMT 2024","812","","Login Feature test","","","","I want to test the login page (example #2)",""
"passed","Thu Mar 28 18:54:40 GMT 2024","Thu Mar 28 18:54:41 GMT 2024","768","","Login Feature test","","","","I want to test the login page (example #3)",""
