"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 06 19:02:36 GMT 2023","Mon Feb 06 19:02:37 GMT 2023","1466","","Login Feature test","","","","I want to test the login page (example #1)",""
"passed","Mon Feb 06 19:02:39 GMT 2023","Mon Feb 06 19:02:46 GMT 2023","6678","","Login Feature test","","","","I want to test the login page (example #4)",""
"passed","Mon Feb 06 19:02:38 GMT 2023","Mon Feb 06 19:02:39 GMT 2023","1346","","Login Feature test","","","","I want to test the login page (example #3)",""
"passed","Mon Feb 06 19:02:37 GMT 2023","Mon Feb 06 19:02:38 GMT 2023","1041","","Login Feature test","","","","I want to test the login page (example #2)",""
